gene_name	NES	pvalues	UNIPROT	mf
ATF2	2.792764091728284	0.005225978918321058	P15336	tf
ATF4	3.1756622939174344	0.0014949487255871718	P18848	tf
ESR1	-2.4666221829049912	0.013639418663864202	P03372	tf
FOXM1	2.0340822622662924	0.041943302056670566	Q08050;Q08050	tf
FOXO1	3.1266657726805294	0.0017680079744457988	Q12778	tf
FOXO3	4.33203157679469	1.477397463402633e-5	O43524	tf
FOXO4	4.747590165225325	2.0585462928919313e-6	P98177	tf
HIF1A	-2.203143392140887	0.027584643652214663	Q16665	tf
MYCN	-3.2074345700273033	0.0013392452120056576	P04198	tf
NFIA	-2.9875895056754023	0.0028118694557709915	Q12857	tf
POU2F1	2.644368715423128	0.008184344880824765	P14859	tf
SREBF1	3.1188502077919624	0.001815582370153866	P36956;P36956	tf
SREBF2	2.56471235319021	0.010326137063292344	Q12772	tf
STAT3	2.7016122148636668	0.006900419076074906	P40763	tf
TP53	2.8615104333259826	0.0042162762608748535	P04637	tf
VDR	2.012953151982113	0.044119558077561474	P11473	tf
